"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS4Y1","1396","10.78","0.2975","36.23","1.993e-287","2.219e-283"
"TXLNGY","4810","8.697","0.25","34.79","3.997e-265","3.337e-261"
"XIST","15220","-9.426","0.2836","-33.23","3.409e-242","2.277e-238"
"DDX3Y","4639","8.339","0.2555","32.64","1.067e-233","5.938e-230"
"KDM5D","1321","6.008","0.1853","32.42","1.49e-230","7.108e-227"
"EIF1AY","678.1","5.78","0.1937","29.84","1.057e-195","4.415e-192"
"ZFY","536.4","7.413","0.2705","27.41","2.235e-165","8.295e-162"
"PRKY","878.8","3.51","0.1571","22.34","1.538e-110","5.138e-107"
"TTTY15","503.1","2.204","0.1078","20.44","7.09e-93","2.153e-89"
"TTTY14","163.8","3.849","0.1979","19.45","3.069e-84","8.543e-81"
"TMSB4Y","51.02","8.749","0.4537","19.28","7.257e-83","1.865e-79"
"ANOS1","108","7.439","0.4514","16.48","4.912e-61","1.172e-57"
"LINC00278","45.66","6.922","0.4238","16.33","5.702e-60","1.27e-56"
"TTTY10","57.87","8.173","0.5047","16.19","5.604e-59","1.17e-55"
"ANOS2P","42.29","5.809","0.3676","15.8","3.124e-56","6.139e-53"
"RPS4Y2","528.7","11.24","0.7746","14.51","9.993e-48","1.854e-44"
"AC006157.1","9.507","6.574","0.4658","14.11","3.188e-45","5.604e-42"
"TBL1Y","138.3","10.06","0.8019","12.55","3.904e-36","6.521e-33"
"AC010889.1","70.79","2.641","0.224","11.79","4.51e-32","7.174e-29"
"RNU6-255P","3.709","5.218","0.5024","10.39","2.84e-25","4.313e-22"
"METTL25","432.2","2.233","0.2485","8.985","2.58e-19","3.747e-16"
"HSFY2","2.663","4.73","0.5981","7.909","2.587e-15","3.6e-12"
"ZFY-AS1","3.357","3.815","0.4983","7.656","1.913e-14","2.556e-11"
"KDM6A","2659","-0.7064","0.09512","-7.427","1.113e-13","1.43e-10"
"SRY","2.569","4.696","0.6881","6.825","8.762e-12","1.084e-8"
"AC090409.2","10.17","1.471","0.2164","6.8","1.043e-11","1.223e-8"
"NLGN4Y","126.9","3.317","0.488","6.798","1.062e-11","1.223e-8"
"PAX1","14.62","1.055","0.1715","6.154","7.542e-10","8.397e-7"
"JPX","1737","-0.5895","0.09596","-6.143","8.074e-10","8.7e-7"
"HSFY1P1","2.277","3.719","0.6159","6.039","1.554e-9","0.000001622"
"AF130359.1","4.19","2.559","0.4245","6.027","1.668e-9","0.000001688"
"PCDH17","73.27","3.391","0.5741","5.906","3.514e-9","0.000003452"
"EDARADD","22.25","2.377","0.4226","5.625","1.858e-8","0.00001773"
"IGLV4-3","15.38","3.157","0.5885","5.364","8.14e-8","0.00007553"
"ANKRD30BL","112.7","2.166","0.4128","5.248","1.537e-7","0.0001387"
"FAM167A","54.39","2.206","0.4235","5.209","1.895e-7","0.0001666"
"IGHV2-5","76.31","2.845","0.5495","5.178","2.237e-7","0.0001916"
"GPC6","9.032","-4.057","0.7865","-5.158","2.5e-7","0.0002087"
"PRAME","156.7","4.5","0.8761","5.137","2.791e-7","0.0002274"
